Humerus_w,Humerus_x,Humerus_y,Humerus_z,Radius_w,Radius_x,Radius_y,Radius_z,Rotation_Angle
0.059,-0.924,-0.091,-0.365,0.351,0.502,0.637,0.468,108.5
0.059,-0.924,-0.091,-0.365,0.35,0.503,0.637,0.468,108.5
0.059,-0.924,-0.091,-0.365,0.35,0.502,0.637,0.469,108.5
0.06,-0.924,-0.091,-0.365,0.35,0.502,0.637,0.469,108.5
0.061,-0.924,-0.091,-0.366,0.35,0.502,0.637,0.469,108.5
0.061,-0.924,-0.091,-0.366,0.349,0.503,0.636,0.47,108.4
0.062,-0.924,-0.09,-0.367,0.349,0.503,0.637,0.469,108.5
0.062,-0.924,-0.09,-0.365,0.349,0.503,0.637,0.469,108.5
0.062,-0.924,-0.09,-0.365,0.348,0.503,0.637,0.469,108.6
0.062,-0.924,-0.09,-0.365,0.348,0.503,0.637,0.469,108.7
0.063,-0.924,-0.089,-0.366,0.348,0.503,0.637,0.469,108.7
0.063,-0.924,-0.089,-0.366,0.348,0.503,0.637,0.468,108.7
0.062,-0.924,-0.089,-0.366,0.348,0.503,0.637,0.468,108.7
0.062,-0.924,-0.089,-0.366,0.349,0.503,0.638,0.468,108.6
0.062,-0.924,-0.089,-0.366,0.35,0.501,0.638,0.469,108.5
0.062,-0.924,-0.089,-0.366,0.348,0.504,0.641,0.463,109.3
0.061,-0.926,-0.093,-0.361,0.348,0.504,0.641,0.463,109.3
0.061,-0.927,-0.096,-0.357,0.348,0.504,0.641,0.463,109.3
0.061,-0.927,-0.096,-0.357,0.343,0.509,0.644,0.457,110.4
0.061,-0.927,-0.096,-0.357,0.336,0.513,0.65,0.45,111.8
0.059,-0.934,-0.101,-0.338,0.336,0.513,0.65,0.45,111.8
0.059,-0.934,-0.101,-0.338,0.325,0.518,0.658,0.439,113.9
0.059,-0.934,-0.101,-0.338,0.308,0.527,0.671,0.42,117.3
0.057,-0.94,-0.103,-0.32,0.308,0.527,0.671,0.42,117.3
0.056,-0.948,-0.104,-0.295,0.308,0.527,0.671,0.42,117.3
0.056,-0.948,-0.104,-0.295,0.287,0.539,0.686,0.396,121.5
0.053,-0.957,-0.102,-0.268,0.287,0.539,0.686,0.396,121.5
0.053,-0.957,-0.102,-0.268,0.263,0.551,0.702,0.367,126.4
0.053,-0.957,-0.102,-0.268,0.236,0.564,0.719,0.332,132.0
0.047,-0.965,-0.102,-0.237,0.236,0.564,0.719,0.332,132.0
0.039,-0.973,-0.101,-0.204,0.236,0.564,0.719,0.332,132.0
0.032,-0.98,-0.103,-0.169,0.236,0.564,0.719,0.332,132.0
0.032,-0.98,-0.103,-0.169,0.18,0.579,0.753,0.255,143.7
0.032,-0.98,-0.103,-0.169,0.149,0.584,0.769,0.212,149.8
0.032,-0.98,-0.103,-0.169,0.122,0.584,0.783,0.174,155.1
0.032,-0.98,-0.103,-0.169,0.1,0.583,0.794,0.139,159.7
0.021,-0.988,-0.112,-0.101,0.1,0.583,0.794,0.139,159.9
0.017,-0.99,-0.118,-0.074,0.1,0.583,0.794,0.139,160.0
0.017,-0.99,-0.118,-0.074,0.082,0.582,0.802,0.105,164.1
0.017,-0.99,-0.118,-0.074,0.069,0.578,0.809,0.075,167.2
0.013,-0.991,-0.124,-0.052,0.069,0.578,0.809,0.075,167.5
0.009,-0.991,-0.131,-0.03,0.069,0.578,0.809,0.075,167.8
0.009,-0.991,-0.131,-0.03,0.056,0.577,0.813,0.052,170.4
0.009,-0.991,-0.131,-0.03,0.047,0.575,0.816,0.033,172.3
0.004,-0.99,-0.138,-0.006,0.047,0.575,0.816,0.033,172.7
0.003,-0.99,-0.142,0.006,0.047,0.575,0.816,0.033,173.0
0.003,-0.99,-0.142,0.006,0.036,0.572,0.819,0.009,175.0
0.001,-0.989,-0.149,0.02,0.036,0.572,0.819,0.009,175.6
0.001,-0.988,-0.15,0.022,0.036,0.572,0.819,0.009,175.7
0.001,-0.988,-0.151,0.023,0.036,0.572,0.819,0.009,175.8
0.0,-0.988,-0.153,0.023,0.036,0.572,0.819,0.009,175.9
0.0,-0.988,-0.153,0.023,0.032,0.573,0.819,0.004,176.5
0.0,-0.988,-0.153,0.023,0.031,0.571,0.82,0.0,176.6
0.0,-0.988,-0.153,0.023,0.032,0.571,0.821,0.004,176.2
0.002,-0.987,-0.158,0.019,0.032,0.571,0.821,0.004,176.7
0.002,-0.987,-0.158,0.019,0.036,0.568,0.822,0.011,175.8
0.002,-0.987,-0.163,0.013,0.036,0.568,0.822,0.011,176.1
0.002,-0.987,-0.163,0.013,0.04,0.567,0.822,0.023,174.7
0.006,-0.986,-0.164,0.004,0.04,0.567,0.822,0.023,174.8
0.006,-0.986,-0.164,0.004,0.048,0.567,0.821,0.041,172.7
0.013,-0.986,-0.164,-0.01,0.048,0.567,0.821,0.041,172.7
0.019,-0.986,-0.163,-0.031,0.048,0.567,0.821,0.041,172.7
0.019,-0.986,-0.163,-0.031,0.073,0.566,0.816,0.094,166.3
0.024,-0.985,-0.162,-0.051,0.073,0.566,0.816,0.094,166.3
0.031,-0.983,-0.163,-0.074,0.073,0.566,0.816,0.094,166.3
0.031,-0.983,-0.163,-0.074,0.086,0.564,0.812,0.125,162.5
0.031,-0.983,-0.163,-0.074,0.1,0.561,0.807,0.154,158.8
0.035,-0.982,-0.159,-0.096,0.1,0.561,0.807,0.154,158.8
0.035,-0.982,-0.159,-0.096,0.131,0.554,0.794,0.212,151.1
0.035,-0.982,-0.159,-0.096,0.145,0.55,0.786,0.243,147.3
0.039,-0.98,-0.157,-0.115,0.145,0.55,0.786,0.243,147.3
0.044,-0.977,-0.154,-0.14,0.145,0.55,0.786,0.243,147.2
0.048,-0.974,-0.154,-0.162,0.145,0.55,0.786,0.243,147.2
0.048,-0.974,-0.154,-0.162,0.157,0.547,0.776,0.272,143.5
0.059,-0.966,-0.15,-0.205,0.157,0.547,0.776,0.272,143.5
0.059,-0.966,-0.15,-0.205,0.179,0.544,0.752,0.325,136.8
0.064,-0.961,-0.149,-0.225,0.179,0.544,0.752,0.325,136.8
0.068,-0.957,-0.147,-0.241,0.179,0.544,0.752,0.325,136.8
0.068,-0.957,-0.147,-0.241,0.189,0.542,0.741,0.347,133.8
0.068,-0.957,-0.147,-0.241,0.2,0.541,0.731,0.364,131.3
0.068,-0.954,-0.144,-0.255,0.2,0.541,0.731,0.364,131.3
0.068,-0.954,-0.144,-0.255,0.206,0.54,0.721,0.381,129.1
0.068,-0.951,-0.142,-0.267,0.206,0.54,0.721,0.381,129.1
0.072,-0.943,-0.136,-0.295,0.206,0.54,0.721,0.381,129.1
0.072,-0.943,-0.136,-0.295,0.21,0.541,0.711,0.398,127.1
0.072,-0.943,-0.136,-0.295,0.21,0.54,0.699,0.42,124.8
0.078,-0.937,-0.136,-0.311,0.21,0.54,0.699,0.42,124.8
0.078,-0.937,-0.136,-0.311,0.21,0.533,0.688,0.445,122.1
0.078,-0.937,-0.136,-0.311,0.217,0.529,0.676,0.465,119.4
0.078,-0.937,-0.136,-0.311,0.227,0.525,0.665,0.48,117.0
0.078,-0.937,-0.136,-0.311,0.24,0.52,0.655,0.493,114.5
0.084,-0.932,-0.132,-0.326,0.24,0.52,0.655,0.493,114.6
0.089,-0.929,-0.127,-0.337,0.24,0.52,0.655,0.493,114.6
0.089,-0.929,-0.127,-0.337,0.251,0.515,0.645,0.506,112.3
0.095,-0.924,-0.123,-0.349,0.251,0.515,0.645,0.506,112.3
0.104,-0.917,-0.113,-0.368,0.251,0.515,0.645,0.506,112.4
0.104,-0.917,-0.113,-0.368,0.261,0.513,0.635,0.515,110.6
0.104,-0.917,-0.113,-0.368,0.27,0.511,0.624,0.525,108.6
0.108,-0.912,-0.114,-0.379,0.27,0.511,0.624,0.525,108.5
0.108,-0.912,-0.114,-0.379,0.277,0.504,0.614,0.54,106.3
0.112,-0.905,-0.113,-0.393,0.277,0.504,0.614,0.54,106.2
0.113,-0.902,-0.113,-0.4,0.277,0.504,0.614,0.54,106.2
0.113,-0.902,-0.113,-0.4,0.284,0.502,0.605,0.548,104.6
0.113,-0.902,-0.113,-0.4,0.29,0.501,0.6,0.552,103.6
0.113,-0.9,-0.115,-0.404,0.29,0.501,0.6,0.552,103.6
0.113,-0.9,-0.115,-0.404,0.294,0.502,0.6,0.549,103.6
0.101,-0.903,-0.111,-0.404,0.294,0.502,0.6,0.549,103.8
0.101,-0.903,-0.111,-0.404,0.306,0.502,0.597,0.546,103.1
0.101,-0.903,-0.111,-0.404,0.312,0.503,0.592,0.547,102.3
0.095,-0.903,-0.11,-0.405,0.312,0.503,0.592,0.547,102.4
0.095,-0.903,-0.11,-0.405,0.317,0.498,0.587,0.554,101.2
0.095,-0.903,-0.108,-0.406,0.317,0.498,0.587,0.554,101.3
0.095,-0.903,-0.108,-0.406,0.321,0.491,0.583,0.563,99.9
0.097,-0.9,-0.105,-0.411,0.321,0.491,0.583,0.563,99.9
0.105,-0.893,-0.106,-0.425,0.321,0.491,0.583,0.563,99.8
0.105,-0.893,-0.106,-0.425,0.329,0.486,0.579,0.566,98.7
0.105,-0.893,-0.106,-0.425,0.334,0.484,0.574,0.57,97.8
0.105,-0.893,-0.106,-0.425,0.334,0.482,0.572,0.574,97.3
0.105,-0.893,-0.106,-0.425,0.336,0.482,0.568,0.577,96.7
0.108,-0.891,-0.105,-0.429,0.336,0.482,0.568,0.577,96.7
0.111,-0.887,-0.102,-0.437,0.336,0.482,0.568,0.577,96.7
0.111,-0.887,-0.102,-0.437,0.323,0.492,0.584,0.559,100.0
0.111,-0.888,-0.103,-0.434,0.323,0.492,0.584,0.559,100.0
0.111,-0.888,-0.103,-0.434,0.311,0.506,0.607,0.528,104.8
0.111,-0.888,-0.103,-0.434,0.294,0.522,0.632,0.491,110.4
0.105,-0.899,-0.105,-0.411,0.294,0.522,0.632,0.491,110.5
0.094,-0.912,-0.11,-0.384,0.294,0.522,0.632,0.491,110.5
